No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"3","313:8437","3_Keyvisual","キービジュアル","Banner chính (Keyvisual)","others","hero_banner","","","false","","","","","","Banner chính hiển thị artwork và tiêu đề chiến dịch trên trang Hệ thống giải thưởng.

Hiển thị:
  - Ảnh nền: artwork trang trí toàn chiều rộng (cover; crop trung tâm)
  - Tiêu đề: 'ROOT FURTHER' (font lớn; nổi bật)
  - Phụ đề: 'Sun* Annual Award 2025'
  - Logo và icon trang trí ở góc trên

Chức năng:
- Trang trí; không có hành vi click
- Responsive: scale để cover chiều rộng và crop trung tâm
- Accessibility: alt text 'Keyvisual Sun* Annual Award 2025'","","","","","",""
"A","313:8453","A_Title hệ thống giải thưởng","賞制度タイトル","Tiêu đề hệ thống giải thưởng SAA2025","label","","","","false","","","","","","Tiêu đề phần giới thiệu hệ thống giải thưởng SAA 2025.

Hiển thị:
  - Dòng phụ: 'Sun* annual awards 2025' (text nhỏ; nhạt; phía trên)
  - Tiêu đề chính: 'Hệ thống giải thưởng SAA 2025' (text lớn; nổi bật)

Chức năng:
- Hiển thị tĩnh; không có tương tác","","","","","",""
"B","313:8458","B_Hệ thống giải thưởng","賞制度セクション","Hệ thống giải thưởng SAA2025","others","info_block","","","false","","","","","","Mục liệt kê toàn bộ hạng mục giải SAA 2025; bao gồm bảng điều hướng bên trái và các thẻ thông tin bên phải.

Hiển thị:
  - Bảng điều hướng (trái): danh sách các mục giải ('Top Talent'; 'Top Project'; 'Top Project Leader'; 'Best Manager'; 'Signature 2025 - Creator'; 'MVP')
  - Thẻ giải (phải): mỗi thẻ gồm ảnh/biểu tượng; tiêu đề; mô tả; 'Số lượng giải thưởng'; 'Giá trị giải thưởng'

Chức năng:
- Click mục bên trái: cuộn tới thẻ giải tương ứng bên phải
- Trạng thái: hiển thị thông tin tĩnh cho các thẻ giải; có tương tác cho menu điều hướng","","","","","",""
"C","313:8459","C_Menu list","メニューリスト","Danh mục giải thưởng (menu bên trái)","others","navigation","","","false","","","","","","Cột điều hướng bên trái; liệt kê các hạng mục giải thưởng.

Hiển thị:
  - Danh sách: 6 mục văn bản dọc ('Top Talent'; 'Top Project'; 'Top Project Leader'; 'Best Manager'; 'Signature 2025 - Creator'; 'MVP')
  - Indicator: mục đang active được đánh dấu bằng underline
  - Vị trí: cố định bên trái khu vực nội dung

Chức năng:
- Click mục: cuộn nội dung phía bên phải tới thẻ giải tương ứng và đặt trạng thái active cho mục đó
- Hover: highlight mục đang trỏ
- Mục mặc định active: 'Top Talent' (mục đầu tiên)","","","","","","- Khi cuộn nội dung bên phải; mục active bên trái có tự động cập nhật theo vị trí cuộn không?"
"C.1","313:8460","C.1_Top talent","トップタレント（ナビ項目）","Mục 'Top Talent'","others","navigation_item","","","false","","","","","","Mục điều hướng 'Top Talent' trong cột danh mục bên trái.

Hiển thị:
  - Text: 'Top Talent'
  - Trạng thái active: có underline
  - Trạng thái bình thường: màu nhạt

Chức năng:
- Click: cuộn tới phần 'Top Talent' (D.1) và đặt trạng thái active
- Hover: highlight mục","on_click","Click vào mục này sẽ cuộn nội dung bên phải tới phần thông tin giải 'Top Talent' và đặt trạng thái active cho mục.","","","",""
"C.2","313:8461","C.2_Top project","トッププロジェクト（ナビ項目）","Mục 'Top Project' (danh mục điều hướng)","others","navigation_item","","","false","","","","","","Mục điều hướng 'Top Project' trong cột danh mục bên trái.

Hiển thị:
  - Text: 'Top Project'
  - Trạng thái active: có underline
  - Trạng thái bình thường: màu nhạt

Chức năng:
- Click: cuộn tới phần 'Top Project' (D.2) và đặt trạng thái active
- Hover: highlight mục","on_click","Click vào mục này sẽ cuộn nội dung bên phải tới phần thông tin giải 'Top Project' và đặt trạng thái active cho mục.","","","",""
"C.3","313:8462","C.3_Top Project leader","トッププロジェクトリーダー（ナビ項目）","Người Dẫn Dự Án Xuất Sắc","others","navigation_item","","","false","","","","","","Mục điều hướng 'Top Project Leader' trong cột danh mục bên trái.

Hiển thị:
  - Text: 'Top Project Leader'
  - Trạng thái active: có underline
  - Trạng thái bình thường: màu nhạt

Chức năng:
- Click: cuộn tới phần 'Top Project Leader' (D.3) và đặt trạng thái active
- Hover: highlight mục","on_click","Click vào mục này sẽ cuộn nội dung bên phải tới phần thông tin giải 'Top Project Leader' và đặt trạng thái active cho mục.","","","",""
"C.4","313:8463","C.4_Best manager","ベストマネージャー（ナビ項目）","Quản lý xuất sắc","others","navigation_item","","","false","","","","","","Mục điều hướng 'Best Manager' trong cột danh mục bên trái.

Hiển thị:
  - Text: 'Best Manager'
  - Trạng thái active: có underline
  - Trạng thái bình thường: màu nhạt

Chức năng:
- Click: cuộn tới phần 'Best Manager' (D.4) và đặt trạng thái active
- Hover: highlight mục","on_click","Click vào mục này sẽ cuộn nội dung bên phải tới phần thông tin giải 'Best Manager' và đặt trạng thái active cho mục.","","","",""
"C.5","313:8464","C.5_Signature 2025","シグネチャー2025（ナビ項目）","Giải Signature 2025 - Creator","others","navigation_item","","","false","","","","","","Mục điều hướng 'Signature 2025 - Creator' trong cột danh mục bên trái.

Hiển thị:
  - Text: 'Signature 2025 - Creator'
  - Trạng thái active: có underline
  - Trạng thái bình thường: màu nhạt

Chức năng:
- Click: cuộn tới phần 'Signature 2025 - Creator' (D.5) và đặt trạng thái active
- Hover: highlight mục","on_click","Click vào mục này sẽ cuộn nội dung bên phải tới phần thông tin giải 'Signature 2025 - Creator' và đặt trạng thái active cho mục.","","","",""
"C.6","313:8465","C.6_MVP","MVP（ナビ項目）","MVP (Người có giá trị nhất)","others","navigation_item","","","false","","","","","","Mục điều hướng 'MVP' trong cột danh mục bên trái.

Hiển thị:
  - Text: 'MVP'
  - Trạng thái active: có underline
  - Trạng thái bình thường: màu nhạt

Chức năng:
- Click: cuộn tới phần 'MVP' (thẻ giải MVP phía dưới) và đặt trạng thái active
- Hover: highlight mục","on_click","Click vào mục này sẽ cuộn nội dung bên phải tới phần thông tin giải 'MVP' và đặt trạng thái active cho mục.","","","",""
